地區,費率
官田,224
麻豆,224
佳里,224
西港,224
七股,224
將軍,224
學甲,224
善化,224
山上,224
新市,224
安定,224
新營,275
後壁,275
東山,275
六甲,275
下營,275
柳營,275
鹽水,275
嘉義,299
竹崎,299
中埔,299
水上,299
太保,299
朴子,299
東石,299
新港,299
民雄,299
大林,299
布袋,299
斗南,299
大埤,299
虎尾,299
土庫,299
北港,299
西湖,299
元長,299
褒忠,331
台西,331
崙背,331
斗六,331
林內,331
荊桐,331
西螺,331
麥寮,366
